Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Tags,lang,target,target_tag,rater
Artificial intelligence in psychology: How can we enable psychology students to accept and use artificial intelligence?,"Gado, Sabrina; Kempen, Regina; Lingelbach, Katharina; Bipp, Tanja","Psychologists with their expertise in statistics and regarding human perception and behavior can contribute valuable insights to the development of innovative and useful artificial intelligence (AI) systems. Therefore, we need to raise attention and curiosity for AI and foster the willingness to engage with it among psychology students. This requires identifying approaches to integrate a general understanding of AI technology into formal psychological training and education. This study investigated to what extent psychology students currently accept and use AI and what affects their perception and usage. Therefore, an AI acceptance model based on established technology acceptance models was developed and tested in a sample of 218 psychology students. An acceptable fit with the data was found for an adapted version. Perceived usefulness and ease of use were most predictive for the students’ attitude towards AI; attitude itself, as well as perceived usefulness, social norm, and perceived knowledge, were predictors for the intention to use AI. In summary, we identified relevant factors for designing AI training approaches in psychology curricula. In this way, possible restraints regarding the use of AI can be reduced and its beneficial opportunities exploited in psychological contexts.",2021,,Psychology Learning &amp; Teaching,21,1,37-56,,10.1177/14757257211037149,,#2261,Gado 2021,,en,1.0,PRO,LS
Visual angle modulates affective responses to audiovisual stimuli,"Gall, Dominik; Latoschik, Marc Erich","What we see influences our emotions. Technology often mediates the visual content we perceive. Visual angle is an essential parameter of how we see such content. It operationalizes visible properties of human–computer interfaces. However, we know little about the content-independent effect of visual angle on emotional responses to audiovisual stimuli. We show that visual angle alone affects emotional responses to audiovisual features, independent of object perception. We conducted a 2 × 2 × 3 factorial repeated-measures experiment with 143 undergraduate students. We simultaneously presented monochrome rectangles with pure tones and assessed valence, arousal, and dominance. In the high visual angle condition, arousal increased, valence and dominance decreased, and lightness modulated arousal. In the low visual angle condition, pitch modulated arousal, and lightness affected valence. Visual angle weights the affective relevance of perception modalities independent of spatial representations. Visual angle serves as an early-stage perceptual feature for organizing emotional responses. Control of this presentation layer allows for provoking or avoiding emotional response where intended.",2020,,Computers in Human Behavior,109,,106346,,10.1016/j.chb.2020.106346,,#2262,Gall 2020,,en,1.0,PRO,LS
You See What you Fear: Spiders Gain Preferential Access to Conscious Perception in Spider-Phobic Patients,"Gerdes, Antje B. M.; Alpers, Georg W.","In phobic individuals, behavioral responses to phobia-related cues are facilitated and brain responses are augmented. It has rarely been investigated whether this preferential processing is accompanied by an altered conscious perception of phobia-related cues. We used binocular rivalry to investigate conscious perception of phobia-related cues in phobic individuals. 21 spider-phobic patients and 20 non-anxious control participants viewed pictures of spiders or flowers, each paired with a neutral pattern under conditions of binocular rivalry. Spider-phobic patients more often reported that they saw spider pictures as the first percept, and the total duration of seeing spider percepts was significantly longer in patients than in non-anxious participants. A second experiment was conducted to rule out that these differences were caused by different response criteria. Results support the validity of self-report in Experiment 1. In sum, predominance of phobia-related cues in binocular rivalry provides evidence that phobia-related cues gain preferential access to visual awareness in phobic individuals.",2013,,Journal of Experimental Psychopathology,5,1,14-28,,10.5127/jep.033212,,#2265,Gerdes 2013,,en,1.0,PRO,LS
Metacognitive therapy versus exposure and response prevention for obsessive-compulsive disorder – A pilot randomized trial,"Glombiewski, Julia Anna; Hansmeier, Jana; Haberkamp, Anke; Rief, Winfried; Exner, Cornelia","Cognitive behaviour therapy, especially exposure and response prevention (ERP) is the treatment of choice for obsessive-compulsive disorder (OCD). However, a substantial number of patients refuse this method or fail to benefit enough. Metacognitive therapy (MCT) claims to successfully treat OCD without prolonged exposures. However, only case series and small, mostly uncontrolled trials have been published so far. The efficacy and feasibility of MCT for OCD compared to ERP were investigated in a pilot randomized trial. Thirty-seven outpatients with OCD according to DSM-IV criteria were randomly allocated to individual, weekly 14-sessions of therapy with either MCT or ERP. Analyses focused on treatment efficacy at post-treatment and 3-months follow-up, treatment fidelity and credibility. Participants showed a significant reduction in OCD symptoms in both treatment conditions and with no differences between MCT and ERP. Participants in the MCT condition required less face-to-face time with a therapist than those in the ERP condition. MCT and ERP were both effective with large effect sizes. There was no evidence that the two treatments lead to statistically different outcomes. Larger controlled trials are justified.",2021,,Journal of Obsessive-Compulsive and Related Disorders,30,,100650,,10.1016/j.jocrd.2021.100650,,#2267,Glombiewski 2021,,en,0.0,MNR,LS
Neural and endocrine stress reactions in healthy women with and without severe early life trauma,"Golde, Sabrina; Wingenfeld, Katja; Otte, Christian","Maladaptive responses to negative affective stimuli are pervasive, including clinically ill and healthy people, and men and women respond differently at neural and hormonal levels. Inspired by the Research Domain Criteria initiative, we used a transdiagnostic approach to investigate the impact of sex and dysphoric mood on neural-hormonal responses to negative affective stimuli.Participants included 99 individuals with major depressive disorder, psychosis and healthy controls. Functional magnetic resonance imaging (fMRI) was complemented with real-time acquisition of hypothalamo-pituitary-adrenal (HPA) and -gonadal (HPG) hormones. fMRI data were analyzed in SPM8 and task-related connectivity was assessed using generalized psychophysiological interaction.Across all participants, elevated cortisol response predicted lower brain activity in orbitofrontal cortex and hypothalamus-amygdala connectivity. In those with worse dysphoric mood, elevated cortisol response predicted lower activity in hypothalamus and hippocampus. In women, elevated cortisol response was associated with lower activity in medial prefrontal cortex and low hypothalamo-hippocampal connectivity. In women with high dysphoric mood, elevated cortisol response was associated with low hypothalamo–hippocampal connectivity. There were no interactions with diagnosis or medication.There was limited power to correct for multiple comparisons across total number of ROIs and connectivity targets; cortisol responses were relatively low.We conclude that the pathophysiology in neural-hormonal responses to negative affective stimuli is shared across healthy and clinical populations and varies as a function of sex and dysphoric mood. Our findings may contribute to the development of hormonal adjunctive therapeutics that are sex-dependent, underscoring the importance of one's sex to precision medicine.",2017,,Psychoneuroendocrinology,83,,39-40,,10.1016/j.psyneuen.2017.07.345,,#2268,Golde 2017,,en,0.0,MNR,JD
Playing smartphone games while studying: an experimental study on reading interruptions by a smartphone game,"Graben, Katharina; Doering, Bettina K.; Barke, Antonia","Abstract In this study, we investigated whether the use of smartphone games while reading a text reduces learning performance or reading speed. We also examined whether this is affected by push notifications. Ninety-three students were randomly assigned to three learning conditions. In the gaming group (G), participants played a game app for 20 s at 2-min intervals while reading. In one subgroup, the game app sent push notifications (GN+); in the other subgroup, no notifications (GN−) were sent. In the control group (C), participants did not play a game. After the reading, participants took a multiple-choice quiz. We compared quiz scores and reading times of the groups (G) and (C) and within the gaming group (GN+, GN−) and observed no differences. Since the statistical non-significance of these tests does not entail the absence of an effect, we conducted equivalence tests, which did not demonstrate equivalence either. The experiment ensured high internal validity, yet remained inconclusive. Reasons for the similarity of performance in all groups could be non-specific exercise effects (all participants owned a smartphone), low similarity between the tasks, low variance of participants’ ability and motivation (high achieving, low ADHD scores) or low game complexity. Future research should address these questions.",2021,,Education and Information Technologies,27,3,3965-3980,,10.1007/s10639-021-10764-0,,#2269,Graben 2021,,en,0.0,MNR,LS
Receiving push-notifications from smartphone games reduces students learning performance in a brief lecture: An experimental study,"Graben, Katharina; Doering, Bettina K.; Barke, Antonia","Many university students use mobile phones during study tasks for unrelated activities. It is known that using social networking while studying reduces the learning performance. The objective of the present study was to investigate whether using smartphone games during a lecture reduces the learning performance, and whether this is influenced by receiving push notifications. Ninety-three students were randomized to three conditions: In two gaming conditions (G), participants played a custom-made gaming-app (20 s) at 2-min intervals while watching a video mimicking a lecture. In one subgroup (GN+), the game app sent push notifications; in the other (GN-), no notifications were sent. Participants in the control group (C) watched the lecture without playing. Subsequently, participants answered multiple choice questions and estimated their own quiz performance. Comparing the quiz scores and subjective performance estimates of the three groups showed that the learning performance in GN+ was lower than in C ( d = 0.51); no other differences were observed. Participants’ subjective performance estimations remained unaffected by the experimental condition. Possible implications of the divergence of the subjective estimate and objective performance are discussed, as well as limitations, such as the low complexity of the game used and the short lecture duration, not reflective of typical lectures. • Playing an easy smartphone game with push notifications during a lecture reduced learning performance. • Subjective performance remained unaffected by experimental condition and were no indicator of objective performance. • Without push notifications, no negative effects on learning performance due to parallel play of a smartphone game were found.",2022,,Computers in Human Behavior Reports,5,,100170,,10.1016/j.chbr.2022.100170,,#2270,Graben 2022,,en,0.0,MNR,LS
Mental Images in Body Integrity Identity Disorder (BIID) and in Body Dysmorphic Disorder (BDD): An Exploratory Study,"Grocholewski, Anja; Bücker, Carina; Kasten, Erich; Osen, Bernhard; Heinrichs, Nina","Abstract Little is known about mental images (cognitive representations with sensory qualities) in body integrity identity disorder (BIID). This study aimed to determine whether individuals with BIID experience mental images and, if so, whether they differ to those experienced by individuals with body dysmorphic disorder (BDD) and healthy controls. A semi-structured interview on mental images and their qualities was delivered to a sample of 22 individuals with BIID and 19 with BDD, and 22 healthy controls. Both the BIID ( n = 15, 68.2%) and BDD ( n = 14, 73.7%) groups reported significantly more mental images than healthy controls ( n = 3, 13.6%), but no differences between the two clinical groups were found. While mental images in BDD were focused on ‘flawed’ body parts, images in BIID involved the desired handicap. Mental images in BIID were experienced as less distressing and more sexually arousing compared to BDD. No further differences were found between the groups (e.g., regarding sensory multimodality, dominance of a specific body part). Although the two groups reported a similar frequency of mental images, images appear to serve different functions across conditions. Clinically, it may be necessary to target the positive mental images in BIID to improve treatment outcome.",2018,,Behaviour Change,35,3,174-184,,10.1017/bec.2018.17,,#2272,Grocholewski 2018,,en,0.0,MNR,LS
‘I can succeed at this’: engagement in service learning in schools enhances university students’ self-efficacy,"Gutzweiler, Raphael; Pfeiffer, Simone; In-Albon, Tina","Engaging in service learning has been linked to multiple positive outcomes in students, such as an increase in self-efficacy. Effects have been found on both general and domain-specific self-efficacy. Research on service learning has indicated that feedback and gender had an impact on the increase in self-efficacy, though findings are mixed. The present study aimed to determine how service learning experiences at a university can be optimally designed to boost college students’ self-efficacy, while examining the effects of feedback and gender on general and teaching self-efficacy. Over 2 years, 267 bachelor’s students in psychology (Mage = 23.08 years, SD = 3.61; 80.5% female) conducted modularized prevention programs in the context of mental health at primary and secondary schools. Students rated their general and teaching self-efficacy before (T1), during (T2), and after (T3) conducting the program. The results indicate a positive effect of engaging in service learning on students’ general (d = 0.30) and teaching (d = 0.68) self-efficacy from T1 to T3 with significant increases only in female students, and after receiving feedback. Engaging in service learning reduced gender-specific differences in self-efficacy. Feedback increased general and teaching self-efficacy. Female students seemed to benefit more than male students.",2022,,Studies in Higher Education,47,12,2539-2552,,10.1080/03075079.2022.2091126,,#2277,Gutzweiler 2022,,en,1.0,PRO,LS
Contamination-fear in subclinical obsessive-compulsive disorder: A further proof for no preferential processing of disorder-related stimuli,"Haberkamp, Anke; Schmidt, Filipp; Hansmeier, Jana; Glombiewski, Julia Anna","Abstract How do individuals with obsessive-compulsive disorder (OCD) process and respond to images of rotten food or dirty toilets? In contrast to other fear-related disorders, evidence for attentional biases and preferential processing of disorder-related stimuli in samples of OCD is mixed. To address methodological problems of previous studies and to increase validity, we used two independent samples of participants with contamination fear and two sets of standardized stimuli in an established experimental paradigm. In two experiments, we compared evaluation and visual processing of contamination-fear related (CFr) stimulus material in individuals with high (HCF) and low (LCF) contamination fear. In experiment 1, we selected CFr stimuli from a database with disgust-related images (DIRTI). Even though the HCF group rated CFr images as being more unpleasant, arousing, and disgusting, we found no indicators of preferential processing (larger priming effects or faster responses). In experiment 2, we selected CFr stimuli from a database with images specifically chosen to evoke symptom-related anxiety in OCD patients (BOCD-PS). Again, negative evaluations of stimuli did not transfer into enhanced information processing. We conclude that early information processing of CFr stimuli is fundamentally different to that of fear-related stimuli in anxiety disorders; probably because of the triggered disgust response.",2019,,Journal of Obsessive-Compulsive and Related Disorders,21,,26-36,,10.1016/j.jocrd.2018.11.004,,#2279,Haberkamp 2019,,en,0.0,MNR,LS
P58. Sleep in humans stabilizes hippocampal pattern separation performance,"Hanert, A.; Weber, F.D.; Pedersen, A.; Born, J.; Bartsch, T.","Sleep supports the formation of long-term memories in an active system consolidation process. Episodic memories encoded during wakefulness are temporarily stored in the hippocampus before they are transferred to the neocortex for the long term storage. During NonREM sleep, especially slow wave sleep, a reactivation of hippocampal neural representations is thought to promote this transfer, via synchronization of distinct oscillatory activity in hippocampus and neocortex. However, how this reprocessing of memory during sleep affects the memory representation in the hippocampus itself, is unclear. For this purpose, we tested hippocampal stimulus processing, i.e., pattern separation, before and after periods of sleep and wakefulness in humans. Pattern separation refers to the capability of the hippocampus to form non-overlapping orthogonal neural representations from similar episodic stimulus inputs. We found that pattern separation performance deteriorated across the wake period but remained stable across sleep (p = 0.013). Stimuli with highest similarity showed a reversed pattern with reduced pattern separation after sleep (p  With those features of NonREM sleep, serving as markers of sleep-dependent memory consolidation and hippocampal reactivation, our findings provide first-time evidence in humans supporting the notion that reactivation-based consolidation processes during sleep affect the hippocampal representation itself.",2018,,Clinical Neurophysiology,129,8,e91,,10.1016/j.clinph.2018.04.695,,#2280,Hanert 2018,,en,1.0,PRO,LS
A test of the metacognitive model of obsessive-compulsive disorder,"Hansmeier, J.; Exner, C.; Rief, W.; Glombiewski, J.A.","Abstract The question of the relative importance of dysfunctional cognitive beliefs and metacognitions in the development and maintenance of obsessive-compulsive (OC) symptoms is still a matter of debate. This study aims to investigate the relevance of OC-specific metacognitions, such as thought fusion beliefs, beliefs about rituals and stop signals for OC symptoms. Patients with obsessive-compulsive disorder (OCD) ( n  = 71), anxiety disorders ( n  = 51), and depressive disorders ( n  = 81), and a nonclinical sample ( n  = 300), were assessed for (meta)cognitive beliefs and OC symptoms. Analyses of variances indicated that the OCD group reported significantly more positive beliefs about rituals and stop signals than did the other three groups, also when controlling for comorbidity of depression disorder. No differences were found with regard to thought fusion beliefs. In regression analyses in the OCD sample, OC-specific metacognitions such as thought fusion beliefs explained incremental variance in OC symptoms, when controlling for cognitive beliefs and general, non OC-specific metacognitions. Overall, these findings provide further evidence for the relevance of specific metacognitions to OCD. Metacognitive therapy might address these metacognitive beliefs and thereby lead to a reduction of OC symptoms in OCD patients.",2016,,Journal of Obsessive-Compulsive and Related Disorders,10,,42-48,,10.1016/j.jocrd.2016.05.002,,#2282,Hansmeier 2016,,en,0.0,MNR,LS
Exploring the Potential Distinction Between Continuous Traumatic Stress and Posttraumatic Stress in an East African Refugee Sample,"Hecker, Tobias; Ainamani, Herbert E.; Hermenau, Katharin; Haefele, Eva; Elbert, Thomas","Posttraumatic stress (PTS) indicates a continuous stress response that persists though threats to life had been experienced in the past. However, threats to life are frequently ongoing. For these contexts, the concept of continuous traumatic stress (CTS) has been put forward. Based on structured clinical interviews with Congolese refugees ( N = 226), this study investigated the CTS concept and whether it can be distinguished from PTS. We found that current exposure to violence correlated positively with concerns about its recurrence in the CTS group ( r = .46). An ANCOVA indicated that higher intrusion symptom severity in the PTS group (no symptom reduction under safe conditions) was explained by higher lifetime trauma exposure (η 2 = .125). In contexts of continuous trauma exposure, symptom-like responses may be regarded as appropriate responses to realistic danger. In these contexts, the possibility that symptom changes are a response to real threats should be considered to avoid overestimation of PTSD prevalences.",2017,,Clinical Psychological Science,5,6,964-973,,10.1177/2167702617717023,,#2284,Hecker 2017,,en,1.0,PRO,LS
Drugs Boosting Conflict? A Micro-Level Test of the Linkage Between Substance Use and Violence,"Hecker, Tobias; Haer, Roos","Many studies have emphasized the role of natural resources in the onset and duration of armed conflict. Due to its characteristics, narcotics are considered to be one of the most influential resources. However, the dynamics of how this particular commodity is linked to conflict is still not well understood. Most scholars have focused on the revenue aspects of narcotics and only a few have mentioned the micro-level aspect, i.e., the effect of drug intake and alcohol consumption on combatants' behavior during conflict. With the help of a dataset based on 224 interviews held with former combatants in the Democratic Republic of the Congo, we examined this latter dynamic. Our analyses show, after controlling for armed group-level and individual-level variables, that drug intake and alcohol consumption boost the number of violent actions perpetrated by combatants.",2014,,Terrorism and Political Violence,27,2,205-224,,10.1080/09546553.2013.796935,,#2285,Hecker 2014,,en,1.0,PRO,LS
"Spatial working memory performance in people with obsessive–compulsive disorder, their unaffected first-degree relatives and healthy controls","Heinzel, Stephan; Bey, Katharina; Grützmann, Rosa; Klawohn, Julia; Kaufmann, Christian; Lennertz, Leonhard; Wagner, Michael; Kathmann, Norbert; Riesel, Anja","Summary Studies have shown that people with obsessive–compulsive disorder (OCD) have impairments in spatial working memory (SWM) performance. However, it remains unclear whether this deficit represents a cognitive endophenotype preceding symptoms or a correlate of OCD. We investigated SWM in 69 people with OCD, 77 unaffected first-degree relatives of people with OCD and 106 healthy control participants. Taking age effects into account, SWM performance was best in healthy controls, intermediate in relatives and worst in OCD participants. However, since performance did not differ significantly between healthy controls and relatives, our study does not fully support SWM performance as a core cognitive endophenotype of OCD.",2021,,BJPsych Open,7,6,,,10.1192/bjo.2021.1052,,#2288,Heinzel 2021,,en,0.0,MNR,LS
Imagine How Good That Feels: The Impact of Anticipated Positive Emotions on Motivation for Reward Activities,"Heise, Max; Werthmann, Jessica; Murphy, Fionnuala; Tuschen-Caffier, Brunna; Renner, Fritz","Abstract Background Disease burden and unsatisfactory treatment outcomes call for innovation in treatments of depression. Prospective mental imagery, i.e. future-directed voluntary imagery-based thought, about potentially-rewarding activities may offer a mechanistically-informed intervention that targets deficits in reward processing, a core clinical feature of depression. We propose that the previously described impact of prospective mental imagery on motivation for everyday activities is facilitated by affective forecasting , i.e. predictions about an individual’s emotional response to the imagined activities. Methods Participants ( N = 120) self-nominated six activities to engage in over the following week and were randomized to either: (1) an affective forecasting imagery condition ( n = 40); (2) a neutral process imagery condition ( n = 40); or (3) a no-imagery control condition ( n = 40). Results As predicted, increases in motivation ratings from pre to post experimental manipulation were significantly higher following affective forecasting imagery compared to both neutral process imagery ( d = 0.62) and no-imagery ( d = 0.91). Contrary to predictions, the number of activities participants engaged in did not differ between conditions. Conclusions Results provide initial evidence for a potentially important role of affective forecasting in prospective mental imagery. We discuss how these findings can inform future research aiming to harness prospective mental imagery’s potential for clinical applications.",2022,,Cognitive Therapy and Research,46,4,704-720,,10.1007/s10608-022-10306-z,,#2289,Heise 2022,,en,0.0,MNR,LS
Self- and observer ratings of capacity limitations in patients with neurological conditions,"Henning, Anne; Linden, Michael; Muschalla, Beate","Abstract Objective: The purpose of this study was to compare the self- and observer ratings of capacity limitations in patients with neurological conditions. Research on this topic is relevant for assessing the patients’ ability to participate in work and social life and improving collaborative patient-clinician relationships. Method: The self- and observer ratings of capacity limitations in a sample of N = 245 patients with neurological conditions from a rehabilitation facility were compared and assessed using the short rating of activity limitations and participation restrictions in mental disorders according to the International Classification of Functioning, Disability and Health (Mini-ICF-APP) and the equivalent self-rating questionnaire (Mini-ICF-APP-S). Results: Paired-samples t -tests revealed significant differences between the self- and observer ratings for six out of 13 capacity dimensions. On average, the patients rated the capacity dimensions adherence to regulations , planning and structuring of tasks , professional competency and endurance as significantly less limited, in comparison to the observers (small to medium effect sizes). The self-ratings for limitation of contact with others and self-care were only marginally higher than the observer ratings. Conclusions: The findings show that psychological capacity limitations occur in patients with neurological conditions. In clinical practice, limitations in each capacity dimension and discrepancies in patient- and clinician-ratings should be thoroughly assessed. This is especially relevant in patients with neurological conditions who have a potential tendency to underestimate or deny their disability.",2022,,Brain Impairment,,,1-15,,10.1017/brimp.2022.26,,#2291,Henning 2022,,en,1.0,PRO,LS
The benefits of physical exercise on state anxiety: Exploring possible mechanisms,"Herzog, Eva; Voß, Maria; Keller, Viktoria; Koch, Sophia; Takano, Keisuke; Cludius, Barbara","Although several studies have shown that one acute bout of physical exercise can reduce state anxiety in healthy samples, studies that examine this effect in subclinical and clinical samples are still rare and have found mixed results. In the present study, we investigated the effect of a single session of acute exercise on state anxiety in a subclinical sample with moderate to high anxiety sensitivity. Potential mediators, including self-efficacy, self-esteem, mindfulness, subjective vitality, rumination and emotional competencies were explored. Participants ( N = 88) with moderate to high anxiety sensitivity were assigned randomly to either an active group ( n = 44) or a control group ( n = 44). State anxiety and the mediator variables were assessed before and after the intervention. State anxiety was reduced from baseline to post-intervention, but no difference was found between groups. Exploratory analyses suggested that in the active intervention condition, a reduction in state anxiety was partly mediated by an increase in positive affect and mediated by an increase in subjective vitality. One acute bout of exercise might not be enough to decrease state anxiety in subclinical individuals with moderate to high anxiety sensitivity. However, the results of this study suggest that positive affect and subjective vitality could be two mechanisms that might explain the beneficial effect of exercise on anxiety. This should be further investigated in future studies. • Exercise does not reduce state anxiety more than a control condition. • Positive affect and subjective vitality mediate the reduction of state anxiety. • One bout of exercise is not sufficient to reduce anxiety in a subclinical sample.",2022,,Mental Health and Physical Activity,23,,100478,,10.1016/j.mhpa.2022.100478,,#2292,Herzog 2022,,en,0.0,MNR,LS
How Expectations Shape the Formation of Intrusive Memories: An Experimental Study Using the Trauma Film Paradigm,"Herzog, Philipp; Barth, Charlotte; Rief, Winfried; Brakemeier, Eva-Lotta; Kube, Tobias","Abstract Background Although intrusions are the hallmark symptom of posttraumatic stress disorder, there is still limited knowledge about the processes that contribute to the development of intrusions. Here, we used the well-established trauma film paradigm (TFP) to investigate how expectations about the intensity and controllability of intrusions influence their occurrence. Methods 90 healthy participants underwent the TFP before they were randomized to one of three conditions manipulating their expectations about intrusions: positive expectations group; negative expectations group; control group. The primary outcome was the frequency and severity of intrusive memories as assessed with an intrusion diary over seven days. Results The TFP was well implemented, as indicated by significant post-film anxiety and a substantial number of intrusions reported for the subsequent week. The three groups did not differ in their expectations about intrusions and, relatedly, in their experience of intrusions. A mediation analysis revealed that the influence of post-film anxiety on intrusive memories was fully mediated by expectations. Conclusions Despite the failure of the expectation manipulation, the results of the mediation analysis support the hypothesis that post-film expectations influence the formation of intrusive memories, suggesting that intrusions may result from maladaptive dynamics between emotional and cognitive processes following trauma(like) experiences.",2022,,Cognitive Therapy and Research,46,4,809-826,,10.1007/s10608-022-10290-4,,#2293,Herzog 2022,,en,0.0,MNR,JD
Valued Living Before and After CBT,"Hoyer, Jürgen; Čolić, Jasmin; Grübler, Gerd; Gloster, Andrew T.","Whether and to what degree psychotherapy leads to changes in patients’ value-based actions is not well documented. In this study we examined whether cognitive behavioral therapy, without explicit values work, enhanced value-oriented action. We also explored the role of change in valued action for subsequent life satisfaction and continued change after therapy. Additionally, data on the reliability and validity of the Valued Living Questionnaire (VLQ) are reported. We analyzed the pre-, post-, and 6-month-follow-up-data of 3687 patients of a university psychotherapy outpatient clinic, most of which suffered from reliably diagnosed anxiety and mood disorders. Questionnaires included the VLQ (with 10 items each on the “importance” and “consistency” of values), symptom scales (Beck Depression Inventory; Brief Symptom Inventory), and the Satisfaction with Life Scale. Over the course of therapy significant improvements in value-oriented action were found (d = .34), especially in treatment responders (d = .51). Increase of value-oriented action significantly explained satisfaction with life at end of treatment, even after controlling for symptom reduction. Temporally preceding improvement on the VLQ predicted further symptom reduction until follow-up. Data indicate that psychotherapy positively affects valued living, even when it is not explicitly targeted in treatment. Valued living may have a role in the course and maintenance of therapeutic change.",2019,,Journal of Contemporary Psychotherapy,50,1,37-45,,10.1007/s10879-019-09430-x,,#2297,Hoyer 2019,,en,1.0,PRO,LS
Sharing for relief: associations of trauma-focused interviews and well-being among war-affected displaced populations in the Middle East,"Ibrahim, Hawkar; Goessmann, Katharina; Neuner, Frank","Nonmaleficence is a key ethical value of research among vulnerable populations. Trauma-focused research typically includes detailed interviews about traumatic life events and post-traumatic symptoms. This raises concerns about causing distress and harm for the affected individuals. We aimed to determine the immediate effects of trauma-focused interviews on participants’ wellbeing. We developed the brief Distress and Harm Scale (DH7) for the assessment of current symptoms of distress and urge to harm oneself or others. Using data from 332 Iraqi and Syrian children and both of their parents (N = 996), we assessed these symptoms before and after participating in trauma-focused interviews. Results showed that the mean levels of self-reported distress and harm impulses were significantly decreased among adults and children rather than increased immediately after the interviews. Once measures to safeguard cases at risk are carefully implemented in research, the potential benefits of participating in trauma-focused interviews outweigh the risk for individuals. Potential implications of the results for ethical review boards evaluating trauma-focused studies are discussed.",2022,,Ethics &amp; Behavior,,,1-17,,10.1080/10508422.2022.2122466,,#2299,Ibrahim 2022,,en,1.0,PRO,LS
Varying Cognitive Scars – Differential Associations Between Types of Childhood Maltreatment and Facial Emotion Processing,"Iffland, Benjamin; Neuner, Frank","Distorted cognitive processing has been found among survivors of child maltreatment. However, different types of abuse and neglect may bring about differences in emotion and attention processing. The present study aimed to detect differential associations between various types of childhood maltreatment and attentional biases in facial emotion processing.A non-clinical sample was recruited on University campus and consisted of 67 individuals with varying degrees of maltreatment. In an evaluative conditioning task, images of faces with neutral emotional expressions were either associated with short videos of intense negative statements, or associated with neutral videos. Subsequently, these faces were used as stimuli in a face in the crowd recognition task in which the familiar faces had to be recognized within a crowd of unfamiliar neutral faces.In multiple linear regression analyses controlling for the intercorrelatedness of types of maltreatment, differential relationships between types of maltreatment and attentional bias were found. While emotional abuse was associated with faster detection of negatively associated faces, emotional neglect was associated with an impaired recognition of familiar stimuli regardless of the emotional content.Results indicated that interindividual differences in cognitive biases may be due to the activation of diverse cognitive schemas based on differential experiences of maltreatment.",2020,,Frontiers in Psychology,11,,,,10.3389/fpsyg.2020.00732,,#2300,Iffland 2020,,en,1.0,PRO,JD
Who Benefits from Couple Relationship Education? Findings from the Largest German CRE Study,"Job, Ann-Katrin; Baucom, Donald H.; Hahlweg, Kurt","ABSTRACTIn evaluation studies on couple relationship enhancement (CRE) programs, researchers are encouraged to also investigate which couples benefit from program participation. The authors qualified 104 university students to offer an evidence-based CRE program. Up to a 15-month follow-up, the participating couples (N = 234) reported a significant decrease in unsolved relationship conflicts. A 2-day-long intensive training led to better results compared with a weekly format regarding dropouts. Couples with lower pretest satisfaction ratings reported significant improvements over time, whereas couples with initial higher ratings reported no change or a deterioration. Further predictors were identified. The findings should be taken into account in future research.",2016,,Journal of Couple &amp; Relationship Therapy,16,2,79-101,,10.1080/15332691.2016.1178616,,#2305,Job 2016,,en,0.0,MNR,LS
Dyadic Coping in Foster and Biological Parents and Its Relation to 					Child Psychopathology,"Job, Ann-Katrin; Kerkhoff, Denise; Nussbeck, Fridtjof W.; Konrad, Kerstin; Heinrichs, Nina; Lohaus, Arnold","Abstract. This study investigated whether foster parents’ reports of their dyadic coping competencies differ from biological parents, whether there are differences with regard to the temporal associations between maternal and paternal dyadic coping in the two samples, and whether parental dyadic coping competencies predict future mental health problems in children. A total of 94 foster children and 157 children living in their biological families, both samples aged 2–7 years, as well as their (foster) parents were assessed three times over a 12-month period. The mothers’ and fathers’ dyadic coping competencies were assessed using the Dyadic Coping Inventory (DCI). Child psychopathology was assessed using the Child Behavior Checklist (CBCL) and a standardized clinical interview (Kinder-DIPS), both mainly based on maternal report. Foster parents reported better dyadic coping competencies across the three assessments than did biological parents. There were no significant differences with regard to the temporal associations between mothers’ and fathers’ report over time between the two samples. Cross-lagged panel models yielded a high within person stability across the three assessments for both, mothers and fathers (actor effects), as well as some significant interpersonal effects primarily from paternal to maternal dyadic coping (partner effects). In contrast to the expectation, mothers’ and fathers’ dyadic coping did not predict child mental health problems at the third assessment. The results make an important contribution to the research on dyadic coping and on how child mental health problems affect parental dyadic coping competencies and vice versa.",2019,,European Journal of Health Psychology,26,3,71-89,,10.1027/2512-8442/a000032,,#2306,Job 2019,,en,0.0,MNR,LS
Achievement and engagement: How student characteristics influence teacher judgments,"Kaiser, Johanna; Retelsdorf, Jan; Südkamp, Anna; Möller, Jens","Abstract Teachers' judgments of student characteristics are affected not only by the characteristic in question, but also by other factors. This article presents three studies examining whether students' achievement influences teachers' judgments of their engagement (as a proxy for motivation) and vice versa. First, a field study was conducted with N = 52 teachers and N = 1135 students. Structural equation modeling revealed an effect of student achievement on teacher judgments of student engagement and an effect of student engagement on teacher judgments of student achievement—above and beyond the association of each student characteristic with teacher judgments of that characteristic. These results were then replicated in two experimental studies involving a computer simulation of an instructional situation, the Simulated Classroom, with N = 40 and N = 181 teacher candidates, respectively. The psychological determinants of the effects observed are discussed, as are their practical implications.",2013,,Learning and Instruction,28,,73-84,,10.1016/j.learninstruc.2013.06.001,,#2309,Kaiser 2013,,en,1.0,PRO,LS
