Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,lang,target,results,is_result
The role of violence perpetration in driving externalizing problems and offending behavior among youth from eastern Democratic Republic of Congo,"Dumke, L.; Haer, R.; Zawadka, A.; Salmen, C.; Hecker, T.",youth in conflict affected region are exposed to a multitude of traumatic event these individual often witness violence experience it firsthand and in some case become perpetrator the interplay of event shape systematic trauma history that may have unique implication for youth mental health in a cross sectional study conducted in eastern democratic republic of congo drc we interviewed 295 war affected youth 63 4 boy m age 16 70 year including former child soldier n 171 regarding their traumatic experience and mental health using latent class analysis we identified four common trauma history class categorized by a low exposure b medium exposure c high exposure and d high exposure perpetration across the sample gradual increase in trauma load corresponded with increased vulnerability to posttraumatic stress disorder ptsd symptom eta p 2 36 and internalizing problem eta p 2 12 however only youth from the high exposure perpetration class differed significantly from other youth in their level of externalizing problem eta p 2 13 and offending behavior eta p 2 17 a longer time in armed group wa related to a higher risk of both experiencing and perpetrating violence the result indicate that it is not child soldier status per se but the perpetration of violence that reinforces a cycle of violence in conflict affected society by contributing to increased externalizing problem and offending behavior in conflict region integrated approach are needed to address both trauma and externalizing problem of war affected youth,2022,Dec,J Trauma Stress,35,6,1696-1708,36047455.0,10.1002/jts.22871,,#2159,Dumke 2022,Jonathan Diederichs (2023-05-18 23:36:09)(Screen): mix; ,,en,0.0,,0
Gait Patterns and Mood in Everyday Life: A Comparison Between Depressed Patients and Non-depressed Controls,"Adolph, Dirk; Tschacher, Wolfgang; Niemeyer, Helen; Michalak, Johannes",abstract background previous laboratory finding suggest deviant gait characteristic in depressed individual i e reduced walking speed and vertical up and down movement larger lateral swaying movement slumped posture however since most study to date assessed gait in the laboratory it is largely an open question whether this association also hold in more naturalistic everyday life setting thus within the current study we 1 aimed at replicating these result in an everyday life and 2 investigated whether gait characteristic could predict change in current mood method we recruited a sample of patient n 35 suffering from major depressive disorder and a sample of age and gender matched non depressed control n 36 during a 2 day assessment we continuously recorded gait pattern general movement intensity and repetitively assessed the participant s current mood result we replicated previous laboratory result and found that patient a compared to non depressed control showed reduced walking speed and reduced vertical up and down movement a well a a slumped posture during everyday life episode of walking moreover independent of clinical diagnosis higher walking speed and more vertical up and down movement significantly predicted more subsequent positive mood while change in mood did not predict subsequent change in gait pattern conclusion in sum our result support expectation that embodiment i e the relationship between bodily expression of emotion and emotion processing itself in depression is also observable in naturalistic setting and that depression is bodily manifested in the way people walk the data further suggest that motor display affect mood in everyday life,2021,,Cognitive Therapy and Research,45,6,1128-1140,,10.1007/s10608-021-10215-7,,#2160,Adolph 2021,Louis Schiekiera (2023-06-12 23:09:24)(Screen): mix; ,,en,0.0,,0
856 – Early detection of depression in children and adolescents: the new children's depression screener (child-s) and the depression screener for teenagers (desteen),"Allgaier, A.-K.; Dolle, K.; Pietsch, K.; Frühe, B.; Saravo, B.; Schulte-Körne, G.",introduction depression in child and adolescent is still underdiagnosed valid and brief screening tool for these age group are missing objective for child and adolescent in particular we developed the screening tool child s and desteen and assessed their validity a opposed to established instrument method both screener were validated in a paediatric 228 child 316 adolescent and a clinical sample 77 child 87 adolescent gold standard for validation were icd 10 diagnosis of a depressive episode or dysthymia based on a structured interview using receiver operating characteristic analysis the area under the curve auc and the cut offs with the highest sum of sensitivity and specificity were computed in addition it wa examined whether the instrument differed significantly in validity measure result point prevalence were 5 3 child and 9 8 adolescent in paediatric care and 23 5 and 26 1 in clinical care the 8 item child s yielded auc of 98 and 93 in the paediatric and in the clinical sample sensitivity were 100 and 94 with specificity of 87 and 78 the abbreviated 6 item desteen showed an auc of 95 in both setting sensitivity were 100 and 91 in the paediatric and in the clinical sample specificity were 82 and 89 being even shorter the two screening tool performed equally well or better than the established instrument conclusion the child s and the desteen discriminate well between depression and depression like symptom in somatic disease a well a between depression and other form of mental disorder valid and brief they can both be recommended for usage in paediatric and clinical setting,2013,,European Psychiatry,28,,1,,10.1016/s0924-9338(13)76027-9,,#2162,Allgaier 2013,Louis Schiekiera (2023-06-16 01:23:36)(Screen): pos; ,,en,1.0,,0
1648 – What do adolescents know about depression? Efficacy and utility of an information booklet,"Allgaier, A.-K.; Schiller, Y.; Eberle-Sejari, R.; Schulte-Körne, G.",adolescent still lack knowledge about depression and it treatment a a result depressed adolescent are confronted with stigma that are barrier to treatment seeking study in adult demonstrated that depression literacy can be increased by educational material we developed an information booklet on depression specifically addressing adolescent aged 13 to 17 for the first time it wa examined whether knowledge about depression in youth can be enhanced by reading an educational leaflet the information booklet wa evaluated in 628 german ninth grader m 15 1 year 58 boy in a pre postfollow up design using study specific questionnaire knowledge about seven topic on depression wa assessed key subject were symptom and treatment of depression a well a suicidality in addition student evaluated the booklet s layout content and utility power analysis of the pre post follow up comparison yielded effect size of knowledge enhancement between eta 2 0 07 medium and 0 56 large for all topic of the booklet the largest effect size were found for the topic symptom and antidepressant sub analysis on school type and gender showed the highest increase in knowledge in well educated student and in girl the participating youth assessed the booklet positively regarding all category with a mean overallrating of 2 15 on a scale from 1 very good to 6 fail although student baseline knowledge about depression wa good girl and boy of all school type significantly increased depression literacy thus the booklet can help reducing stigma and treatment barrier in adolescent,2013,,European Psychiatry,28,,1,,10.1016/s0924-9338(13)76638-0,,#2163,Allgaier 2013,Louis Schiekiera (2023-06-16 01:22:30)(Screen): pos; ,,en,1.0,,0
"Social Comparison, Envy, and Depression on Facebook: A Study Looking at the Effects of High Comparison Standards on Depressed Individuals","Appel, Helmut; Crusius, Jan; Gerlach, Alexander L.",the co occurrence of depression and envy is both plausible and empirically established however little is known about the mechanism underlying this correlation an account is proposed according to which low self esteem in depressed individual lead to upward social comparison and thus make envy more likely this effect should frequently occur in online social network like facebook because they allow for easy impression management and hence provide high comparison standard in a quasi experimental online study depressed and nondepressed participant indicated their self esteem and were then presented with specifically set up facebook profile that were either attractive or unattractive participant were asked to compare themselves to the profile owner and to report their resulting feeling of inferiority and envy depressed participant were more envious especially after seeing the attractive profile envy wa associated with higher self reported inferiority and also correlated negatively with self esteem the connection between depression and envy is demonstrated with an experimental elicitation of envy for the first time the result strongly suggest that low self esteem and consequent feeling of inferiority play a crucial role in depressed individual elevated level of envy practical implication and limitation are discussed,2015,,Journal of Social and Clinical Psychology,34,4,277-289,,10.1521/jscp.2015.34.4.277,,#2164,Appel 2015,Louis Schiekiera (2023-06-12 23:10:40)(Screen): pos; ,,en,1.0,,0
Ethnic Variation in Emotion Regulation,"Arens, Elisabeth A.; Balkir, Nazli; Barnow, Sven",emotion regulation er via cognitive reappraisal ha been shown to be superior to the use of expressive suppression regarding several aspect of mental well being however a cultural perspective suggests that the consequence of emotional suppression may be moderated by cultural value in order to examine whether this also applies to clinical sample we investigated healthy and depressed german woman and healthy and depressed turkish immigrant living in germany group were compared in term of frequency of er strategy cognitive reappraisal and expressive suppression and with which different aspect of mental well being the same are associated healthy turkish immigrant exhibited a greater er balance frequent use of suppression plus frequent use of reappraisal which wa associated with more positive outcome of expressive suppression in turkish than in german woman none of these difference were found in patient sample both of which showed a greater use of emotional suppression than cognitive reappraisal result suggest that the cultural moderation of the link between emotional suppression and well being is associated with a greater er balance in healthy turkish individual depressed turkish patient may not profit from suppression due to their more rigid use of it,2012,,Journal of Cross-Cultural Psychology,44,3,335-351,,10.1177/0022022112453314,,#2165,Arens 2012,Louis Schiekiera (2023-06-16 01:21:40)(Screen): mix; ,,en,0.0,,0
Are Acute Increases and Variability in Emotion Regulation Strategies Related to Negative Affect and Paranoid Thoughts in Daily Life?,"Bahlinger, Katrin; Lincoln, Tania M.; Clamor, Annika",abstract background negative affect reliably predicts paranoid thought previous study point to the importance of emotion regulation for paranoid thought but have not yet focused on effect of acute increase and variability in strategy use method we conducted an experience sampling study for one week in a subclinical sample acute increase in the intensity of strategy use from one measurement point until the next between strategy variability i e standard deviation between all strategy at one measurement point and within strategy variability i e standard deviation of each strategy over one day were analyzed for effect on negative affect and paranoid thought result multi level model indicated that acute increase in acceptance and reappraisal are associated with le negative affect acute increase in acceptance but not in reappraisal were related to le paranoid thought in contrast acute increase in rumination and suppression were associated with more negative affect and paranoid thought between and within strategy variability were no significant predictor conclusion acute increase in the intensity of but not variability in emotion regulation strategy are related to negative affect and paranoid thought in daily life future study are needed to examine whether improving emotion regulation lead to sustainable reduction in symptom,2021,,Cognitive Therapy and Research,46,1,62-72,,10.1007/s10608-021-10253-1,,#2169,Bahlinger 2021,Louis Schiekiera (2023-06-16 01:20:43)(Screen): mix; ,,en,0.0,,0
Worry behaviour in generalised anxiety disorder,"Beesdo-Baum, K.; Voss, C.; Venz, J.; Poppenhäger, S.; Berwanger, J.; Pieper, L.",abuse of widely available over the counter otc drug and supplement such a diet pill laxative and diuretic by adolescent for weight control is well documented yet manufacturer and retailer can sell them to minor without restriction the aim of our study wa to estimate the effect of added taxation of otc drug and dietary supplement sold for weight loss on household purchase of these product with data from 60 538 u s household in the 2012 wave of the nielsen iri national consumer panel ncp and the nielsen iri retail scanner nrs datasets we conducted analysis in 2017 to tally annual quantity and expenditure on otc drug or dietary supplement making weight loss cleanse detox or diuretic claim we estimated the percent reduction in household purchase due to a simulated 20 added tax on each category among the 14 151 household reporting at least one purchase in the three claim category a 20 higher average price of weight loss product wa associated with a 5 2 lower purchase of those product among household with child age 12 to 17 year old present purchase were 17 5 lower and among household with a daughter present purchase were 10 3 lower taxation may be an effective public health strategy to reduce purchasing of potentially dangerous otc drug and supplement sold for weight loss especially for household that include child age 12 17 year old or a daughter,2019,,European Neuropsychopharmacology,29,,S501,,10.1016/j.euroneuro.2018.11.747,,#2175,Beesdo-Baum 2019,Louis Schiekiera (2023-06-16 01:18:36)(Screen): abstract problem; ,,en,,,0
"Stay-at-home orders due to the COVID-19 pandemic are associated with elevated depression and anxiety in younger, but not older adults: results from a nationwide community sample of adults from Germany","Benke, Christoph; Autenrieth, Lara K.; Asselmann, Eva; Pané-Farré, Christiane A.",stay at home order due to the covid 19 pandemic are associated with elevated depression and anxiety in younger but not older adult result from a nationwide community sample of adult from germany volume 52 issue 15,2020,,Psychological Medicine,52,15,3739-3740,,10.1017/s0033291720003438,,#2177,Benke 2020,Louis Schiekiera (2023-06-16 00:58:11)(Screen): abstract problem; ,,en,,,0
Early cortical processing of vection-inducing visual stimulation as measured by event-related brain potentials (ERP),"Berti, Stefan; Haycock, Bruce; Adler, Julia; Keshavarz, Behrang",abstract visual motion stimulus can induce the perception of self motion in stationary observer known a vection in the present study we investigated the sensory processing underlying vection by measuring the human event related brain potential erps elicited by the movement onset of a visual stimulus we presented participant a visual stimulus consisting of alternating black and white vertical bar that moved in horizontal direction creating the sensation of vection the stimulus wa presented on a screen that wa divided into a central and a surrounding peripheral visual area both area moved independently from each other resulting in four different movement pattern the peripheral and the central stimulus moved in the same or opposite direction or one of the two visual area of the stimulus moved while the other remained stable in addition two different stimulus type varying with respect to the bar width narrow v wide were used participant were presented with these stimulus in two phase of the experiment during eeg recording only short phase 2 5 3 5 m of visual motion were applied in a separate rating phase visual motion wa presented for 45 s in this phase vection onset intensity and duration were verbally recorded overall the visual stimulation generated vection with different intensity i e weakest vection with sole central stimulus movement stimulus type did not affect vection in the erps stimulus onset elicited parieto occipital p2 and n2 component the amplitude of the erp component differed significantly between the four movement pattern irrespective of stimulus type however they did not fully align with the subjective vection rating since the erps are associated with early sensory processing preceding vection we argue that the erps mirror the contribution of sensory cortical process to vection rather than the subjective sensation of vection per se,2019,,Displays,58,,56-65,,10.1016/j.displa.2018.10.002,,#2180,Berti 2019,Louis Schiekiera (2023-06-16 00:57:00)(Screen): mix; ,,en,0.0,,0
Neural correlates of emotional action control in anger-prone women with borderline personality disorder,"Bertsch, Katja; Roelofs, Karin; Roch, Paul Jonathan; Ma, Bo; Hensel, Saskia; Herpertz, Sabine C.; Volman, Inge",difficulty in controlling emotional impulse is a crucial component of borderline personality disorder bpd that often lead to destructive impulsive behaviour against others in line with recent finding in aggressive individual deficit in prefrontal amygdala coupling during emotional action control may account for these symptom to study the neurobiological correlate of altered emotional action control in individual with bpd we asked medication free anger prone female patient with bpd and age and intelligence matched healthy woman to take part in an approach avoidance task while lying in an mri scanner the task required controlling fast behavioural tendency to approach happy and avoid angry face additionally before the task we collected saliva testosterone and self reported information on tendency to act out anger and correlated this with behavioural and functional mri fmri data we included 30 patient and 28 control in our analysis patient with bpd reported increased tendency to act out anger and were faster in approaching than avoiding angry face than with healthy woman suggesting deficit in emotional action control in woman with bpd on a neural level controlling fast emotional action tendency wa associated with enhanced activation in the antero and dorsolateral prefrontal cortex across group healthy woman showed a negative coupling between the left dorsolateral prefrontal cortex and right amygdala whereas this wa absent in patient with bpd specificity of result to bpd and sex difference remain unknown owing to the lack of clinical control group and male participant the result indicate reduced lateral prefrontal amygdala communication during emotional action control in anger prone woman with bpd the finding provide a possible neural mechanism underlying difficulty with controlling emotional impulse in patient with bpd,2018,,Journal of Psychiatry and Neuroscience,43,3,161-170,,10.1503/jpn.170102,,#2181,Bertsch 2018,Louis Schiekiera (2023-06-16 00:53:43)(Screen): mix; ,,en,0.0,,0
The relationship between self-traumatized and self-vulnerable automatic associations and posttraumatic stress symptoms among adults who have experienced a distressing life event,"Blackwell, Simon E.; Ehring, Thomas; Gladwin, Thomas E.; Margraf, Jürgen; Woud, Marcella L.",abstract convergent evidence support a crucial role for dysfunctional appraisal in the development and maintenance of post traumatic stress disorder ptsd however most research in this area ha used self report measure assessing only explicit form of such negative cognition the relevance of their more automatically activated counterpart a assumed by cognitive model remains relatively unexplored the current study aimed to further our understanding of the potential utility of measuring automatic dysfunctional association in the context of posttraumatic stress the relationship between score on two different implicit association test iats and posttraumatic stress symptom wa investigated in a sample of adult n 279 who reported having experienced a potentially traumatic negative life event participant completed the two iats one assessing self traumatized association the other self vulnerable association a self report measure of dysfunctional appraisal and measure of posttraumatic stress symptom and other aspect of psychopathology online score indicating higher level of dysfunctional association on both iats were associated with higher level of posttraumatic stress symptom only score on the iat measuring self vulnerable association and not the iat measuring self traumatized association continued to show an association with posttraumatic stress symptom after controlling for explicit dysfunctional appraisal overall the result indicate the value of investigating ptsd relevant automatic association to further develop our understanding of cognitive process implicated in posttraumatic stress,2021,,Current Psychology,,,,,10.1007/s12144-021-02441-9,,#2182,Blackwell 2021,Louis Schiekiera (2023-05-23 13:04:34)(Screen): mix; ,,en,0.0,,0
Online-Intervention für Partner und Partnerinnen (PartnerCARE),"Bodschwinna, Daniela; Baumeister, Harald; Hönig, Klaus",backgroundpartners of people with cancer are supporter and affected person at the same time existing psychosocial service e g face to face therapy are often not used due to time and logistical constraint the newly developed online intervention partnercare offer a low threshold service for flexible use the intervention includes psychoeducational behavioral and imaginative content and consists of 6 main session a booster session and 4 optional additional session participant are guided by an e coach through feedback partnercare aim to reduce psychosocial stress and increase quality of life methodsthe partnercare online intervention which wa compared with a wait list control group in a two arm parallel randomized controlled feasibility trial is reported online survey of participant were conducted at three time point baseline posttreatment and follow up resultsthe partnercare online intervention demonstrated good feasibility and high acceptance in addition initial potential evidence of partnercare s effectiveness wa demonstrated conclusionpartnercare is the first german language online psycho oncological intervention developed and evaluated specifically for partner of people with cancer with the help of the result of the feasibility study the partnercare online intervention will be optimized and then tested in a large scale randomized controlled trial,2022,,Die Onkologie,28,10,923-930,,10.1007/s00761-022-01224-6,,#2184,Bodschwinna 2022,Louis Schiekiera (2023-06-16 00:41:19)(Screen): descriptive; ,,en,,,0
"Cross-cultural narcissism on Facebook: Relationship between self-presentation, social interaction and the open and covert narcissism on a social networking site in Germany and Russia","Brailovskaia, Julia; Bierhoff, Hans-Werner",the social platform facebook ha more than one billion member in different country cross culturally the way user behave on this platform relates to some personality trait the aim of the present study wa to investigate whether russian and german facebook user differ in the extent of open and covert narcissism self presentation and social interaction on facebook furthermore we investigated whether there is a comparable relationship between narcissism and facebook use in these country to this end the data of 72 russian platform member were collected and compared with the data of 122 german member the narcissism value did not significantly differ between the two sample this wa also the case with the overall self presentation and interaction in contrast some single measure of online behaviour differ for example german user set more like and had more online friend than russian user russian platform member used more application than german user in each group a positive association between the two form of narcissism and online activity wa found so far the positive relation between narcissism and self presentation and social interaction on facebook seem to be universal in western and eastern country cross culturally narcissism is positively related to online activity on facebook in russia and germany narcissism value do not differ significantly the general level of self presentation and interaction on facebook is also similar german user set more like and have more online friend than russian user russian member use more application on facebook than german member,2016,,Computers in Human Behavior,55,,251-257,,10.1016/j.chb.2015.09.018,,#2187,Brailovskaia 2016,Louis Schiekiera (2023-06-08 19:41:48)(Screen): mix; ,,en,0.0,,0
Loneliness and depression symptoms: The moderating role of narcissism,"Brailovskaia, Julia; Bierhoff, Hans-Werner; Rohmann, Elke",the current study investigated the association between loneliness and depression symptom a well a vulnerable and grandiose narcissism an online survey wa conducted obtaining a sample of 701 german speaking participant age m sd 24 17 5 64 range 18 58 a positive association between loneliness and the occurrence of depression symptom wa revealed furthermore the link between loneliness and depression symptom wa moderated by both grandiose and vulnerable narcissism the sample consisted of a majority of university student limiting the generalizability of the finding in addition self report were used without obtaining experimental evidence narcissism is identified a a moderator of the relationship between loneliness and depression symptom more specifically both high grandiose narcissism and high vulnerable narcissism enhance the association between loneliness and depression symptom,2021,,Journal of Affective Disorders Reports,6,,100264,,10.1016/j.jadr.2021.100264,,#2188,Brailovskaia 2021,Louis Schiekiera (2023-06-14 00:33:49)(Screen): pos; ,,en,1.0,,0
Work Overload and Addictive Social Media Use: A Relationship with Depression Symptoms and Life Satisfaction,"Brailovskaia, Julia; Frahsek, Marc; Margraf, Jürgen",abstract work overload is highly related to mental health issue online social medium are often used to escape the feeling of overload in the current study 291 employee from various job sector completed an online survey related to work overload addictive social medium use smu and mental health i e depression symptom life satisfaction work overload wa significantly positively associated with addictive smu r 0 209 p lt 0 001 and depression symptom r 0 190 p lt 0 001 the relationship between work overload and life satisfaction wa significantly negative r 0 175 p lt 0 001 moreover addictive smu significantly mediated the association between work overload and depression symptom total effect p 0 002 direct effect p 0 052 and the association between work overload and life satisfaction total effect p 0 006 direct effect p 0 064 the present result reveals that high work overload could foster addictive smu that could impact employee mental health therefore the attention of employee and employer should be attracted to the potential negative consequence of intensive smu the integration of measure such a a temporary social medium detox and enhanced physical activity in the policy of various organization could be an important step to protect employee mental health and to maintain their productivity,2022,,Journal of Technology in Behavioral Science,7,3,358-367,,10.1007/s41347-022-00258-2,,#2189,Brailovskaia 2022,Louis Schiekiera (2023-05-18 01:21:36)(Screen): pos; ,,en,1.0,,0
I present myself and have a lot of Facebook-friends – Am I a happy narcissist!?,"Brailovskaia, Julia; Margraf, Jürgen",abstract for many people facebook use ha become part of daily life earlier research hypothesized that one reason for the high popularity of this social platform is it association with subjective well being and specific personality trait in the present study self report data and objective data from facebook page of 328 facebook user were analyzed result revealed a significant positive association of active facebook use with subjective happiness and narcissism it relationship with depression symptom wa significantly negative furthermore active facebook use significantly positively mediated the positive link between narcissism and happiness this finding contributes to the understanding why narcissistic individual who usually search for attention and admiration to increase their self esteem often engage in intensive active facebook use,2019,,Personality and Individual Differences,148,,11-16,,10.1016/j.paid.2019.05.022,,#2190,Brailovskaia 2019,Jonathan Diederichs (2023-06-14 06:26:33)(Screen): pos; ,,en,1.0,,0
"The relationship between active and passive Facebook use, Facebook flow, depression symptoms and Facebook Addiction: A three-month investigation","Brailovskaia, Julia; Margraf, Jürgen",active facebook use is positively linked to facebook addiction fa there is no significant link between passive facebook use and fa active facebook use contributes to the experience of facebook related flow in the longer term facebook flow serf a an antecedent of fa particularly individual with enhanced depression symptom are at risk for fa the present study investigated the link of active and passive facebook use facebook flow and depression symptom with facebook addiction fa data of 127 german facebook user m age sd age 25 10 7 03 range 18 58 were assessed at two measurement time point over a period of three month first measurement t1 second measurement t2 via online survey fa t2 wa significantly positively linked to active facebook use t1 facebook flow t1 and depression symptom t1 it relationship with passive facebook use t1 wa non significant facebook flow t1 positively mediated the association between active facebook use t1 and fa t2 in contrast active facebook use t1 did not serve a a mediator between facebook flow t1 and fa t2 given the non experimental design of the present study only hypothetical conclusion on causality can be drawn current result demonstrate that active facebook use could contribute to the experience of flow that serf a an antecedent of fa this is particularly relevant for individual with enhanced depression symptom the finding should be made a subject of discussion in education and prevention program and in therapeutic context,2022,,Journal of Affective Disorders Reports,10,,100374,,10.1016/j.jadr.2022.100374,,#2191,Brailovskaia 2022,Jonathan Diederichs (2023-06-25 21:17:42)(Screen): mix; ,,en,0.0,,0
"Social Media as Source of Information, Stress Symptoms, and Burden Caused by Coronavirus (COVID-19)","Brailovskaia, Julia; Margraf, Jürgen; Schneider, Silvia",abstract this cross national study investigated the extent of social medium use smu a a source of information about covid 19 and it relationship with the experienced burden caused by the pandemic representative data from eight country france germany poland russia spain sweden the uk the usa were collected online end of may to the beginning of june 2020 of the overall 8 302 participant 48 1 frequently used social medium sm a a covid 19 information source range 31 8 in germany to 65 4 in poland in the overall sample and in all country specific sample regression analysis revealed the experienced burden caused by covid 19 to be positively associated with smu and stress symptom furthermore stress symptom partly mediated the relationship between smu and the burden the result emphasize the significant association between the use of sm a a source of information individual emotional state and behavior during the pandemic a well a the significance of conscious and accurate use of sm specifically during the covid 19 outbreak,2021,,European Psychologist,26,4,373-386,,10.1027/1016-9040/a000452,,#2192,Brailovskaia 2021,Louis Schiekiera (2023-06-06 23:13:45)(Screen): pos; ,,en,1.0,,0
A two-week gaming abstinence reduces Internet Gaming Disorder and improves mental health: An experimental longitudinal intervention study,"Brailovskaia, Julia; Meier-Faust, Julius; Schillack, Holger; Margraf, Jürgen",since the covid 19 outbreak digital gaming ha become a welcome pastime and distraction for many people however this phenomenon can have severe consequence intensive digital gaming can foster the internet gaming disorder igd and negatively affect mental health the present experimental longitudinal study investigated the consequence of a conscious abstinence from gaming in a german sample the experimental group n 131 age m 26 21 sd 7 70 did not engage in gaming for two week the control group n 140 age m 25 10 sd 4 94 maintained it gaming time and habit gaming related variable and mental health related variable were assessed via online survey at five measurement time point baseline intermediate status post intervention one month follow up three month follow up the intervention significantly reduced gaming time gaming flow igd daily stress and anxiety symptom moreover we found a significant improvement in positive mental health the effect were stable over the three month of the investigation thus we could show that a conscious and controlled short term abstinence from gaming lead to reduced igd and a better mental health the present result emphasize that conscious period of gaming abstinence could be an effective step in the clinical context and in mental health prevention program especially during a pandemic such a the covid 19 outbreak two week gaming abstinence reduces gaming time and gaming flow longitudinally two week gaming abstinence reduces the level of internet gaming disorder igd two week gaming abstinence reduces the experience of daily stress and anxiety symptom two week gaming abstinence increase positive mental health temporary gaming abstinence can protect mental health during the covid 19 outbreak,2022,,Computers in Human Behavior,134,,107334,,10.1016/j.chb.2022.107334,,#2193,Brailovskaia 2022,Jonathan Diederichs (2023-06-16 01:52:11)(Screen): pos; ,,en,1.0,,0
"How to prevent side effects of social media use (SMU)? Relationship between daily stress, online social support, physical activity and addictive tendencies – A longitudinal approach before and during the first Covid-19 lockdown in Germany","Brailovskaia, Julia; Ozimek, Phillip; Bierhoff, Hans-Werner",daily stress positively predicts addictive social medium use smu three month later during covid 19 lockdown online social support mediates the link between daily stress and addictive smu physical activity moderate the link between online social support and addictive smu physical activity before covid 19 outbreak can contribute to le addictive smu during the pandemic people who experience high level of daily stress often resort to intensive social medium use smu in the short term this can contribute to relief and positive emotion however in the longer term intensive online activity can foster addictive tendency the present longitudinal study investigated the association between daily stress and addictive smu data were assessed in a sample of 211 social medium user m age sd age 22 50 5 00 from germany via online survey at two measurement time point in winter 2020 baseline bl and three month later in spring 2020 during the first covid 19 lockdown follow up fu in moderated mediation analysis the positive relationship between daily stress bl and addictive smu bl and fu wa significantly mediated by the level of perceived online social support bl physical activity bl e g jogging and cycling significantly moderated the relationship between online social support bl and addictive smu bl and fu specifically the association between both variable wa significant for medium and low frequency of physical activity but not for high frequency the mostly female and relatively young sample composition limit the generalizability of the present finding no experimental manipulation of the potential predictor of addictive smu wa introduced limiting the causal interpretation of the current result the current finding disclose mechanism that could reduce the risk of addictive smu specifically a conscious increase of physical activity could prevent the transformation of positive emotion evoked by the perception of online social support into addictive tendency,2021,,Journal of Affective Disorders Reports,5,,100144,,10.1016/j.jadr.2021.100144,,#2194,Brailovskaia 2021,Louis Schiekiera (2023-06-07 01:38:13)(Screen): mix; ,,en,0.0,,0
Less Facebook use – More well-being and a healthier lifestyle? An experimental intervention study,"Brailovskaia, Julia; Ströse, Fabienne; Schillack, Holger; Margraf, Jürgen",use of the social platform facebook belongs to daily life but may impair subjective well being the present experimental study investigated the potential beneficial impact of reduction of daily facebook use participant were facebook user from germany while the experimental group n 140 mage sdage 24 15 5 06 reduced it facebook use for 20 min daily for two week the control group n 146 mage sdage 25 39 6 69 used facebook a usual variable of facebook use life satisfaction depressive symptom physical activity and smoking behavior were assessed via online survey at five measurement time point pre measurement day 0 t1 between measurement day 7 t2 post measurement day 15 t3 follow up 1 one month after post measurement t4 follow up 2 three month after post measurement t5 the intervention reduced active and passive facebook use facebook use intensity and the level of facebook addiction disorder life satisfaction significantly increased and depressive symptom significantly decreased moreover frequency of physical activity such a jogging or cycling significantly increased and number of daily smoked cigarette decreased effect remained stable during follow up three month thus le time spent on facebook lead to more well being and a healthier lifestyle,2020,,Computers in Human Behavior,108,,106332,,10.1016/j.chb.2020.106332,,#2196,Brailovskaia 2020,Louis Schiekiera (2023-06-12 22:11:17)(Screen): pos; ,,en,1.0,,0
"Suicidal ideation, suicide attempts and positive mental health in Chinese medical students","Brailovskaia, Julia; Teismann, Tobias; Lewitzka, Ute; Gao, Zhihua; Zhang, Xiao Chi; Margraf, Jürgen",twelve month suicidal ideation is about 10 11 5 in chinese university student medical student have lower depression symptom than student of other discipline medical student have higher positive mental health pmh than other student over 84 of student report complete mental health high pmh low psychopathology student worldwide are at marked risk of suicidal ideation behavior depression and low positive mental health pmh medical student are suspected to be a particularly burdened group on this background the aim of the present study wa to determine prevalence rate of suicidal ideation behavior depression and pmh among chinese medical student compared to student from other discipline a total of 2 695 chinese student 41 2 woman age m 18 86 sd 60 range 18 21 including 461 medical student filled out self report measure on suicidal ideation behavior depression and pmh twelve month suicidal ideation wa reported by 10 2 of the medical student and by 11 5 of the other student medical student had significantly lower level of depression symptom and significantly higher level of pmh than student from other discipline complete mental health according to the dual factor model of mental health wa reported by more than 84 of the total sample data were assessed by a self report survey that is prone to social desirability student in the present study displayed high rate of complete mental health although the survey wa conducted in the midst of the corona pandemic no evidence wa found that medical student are particularly stressed,2022,,Journal of Affective Disorders Reports,9,,100354,,10.1016/j.jadr.2022.100354,,#2198,Brailovskaia 2022,Louis Schiekiera (2023-06-14 20:27:09)(Screen): neg hypothesis-inconforming; ,,en,-1.0,,0
Physical activity mediates the association between daily stress and Facebook Addiction Disorder (FAD) – A longitudinal approach among German students,"Brailovskaia, Julia; Teismann, Tobias; Margraf, Jürgen",abstract physical activity ha regularly been demonstrated to be a protective factor against stressful experience the present study investigated whether physical activity buffer the association between daily stress and facebook addiction disorder fad over a period of one year first measurement time point t1 october 2016 second measurement time point t2 october 2017 in a sample of 122 german facebook user 82 8 woman age at t1 m 21 70 sd 3 67 range 17 38 physical activity at t1 mediated the significant positive relationship between chronic daily stress at t1 and fad at t2 total effect p 036 direct effect p 164 furthermore at t2 fad wa significantly negatively associated with positive mental health i e high level of emotional social and psychological well being the current study provides first longitudinal result of possible risk associated with and potential protective factor of fad these result demonstrated that this addictive behavior is positively related to chronic daily stress and negatively related to physical activity practical application for future study and limitation of the present result are discussed,2018,,Computers in Human Behavior,86,,199-204,,10.1016/j.chb.2018.04.045,,#2199,Brailovskaia 2018,Jonathan Diederichs (2023-05-16 01:31:04)(Screen): pos; ,,en,1.0,,0
